DisplayName,Display Version,Publisher
Cisco Packet Tracer 9.0.0 64Bit,9.0.0.810,"Cisco Systems, Inc."
Copilot,149.0.4022.80,Microsoft Corporation
Dell Core Services,1.5.67.2,"Dell, Inc."
Dell SupportAssist,5.1.1.3567,Dell Inc.
Dell SupportAssist OS Recovery Plugin for Dell Update,5.5.16.1,Dell Inc.
Dell SupportAssist OS Recovery Plugin for Dell Update,5.5.16.1,Dell Inc.
Dell SupportAssist Remediation,5.5.13.1,Dell Inc.
Dell SupportAssist Remediation,5.5.13.1,Dell Inc.
Git,2.54.0,The Git Development Community
Google Chrome,149.0.7827.199,Google LLC
Java(TM) SE Development Kit 23.0.2 (64-bit),23.0.2.0,Oracle Corporation
Microsoft .NET Host - 6.0.31 (x64),48.124.15198,Microsoft Corporation
Microsoft .NET Host - 8.0.28 (x64),64.112.53549,Microsoft Corporation
Microsoft .NET Host FX Resolver - 6.0.31 (x64),48.124.15198,Microsoft Corporation
Microsoft .NET Host FX Resolver - 8.0.28 (x64),64.112.53549,Microsoft Corporation
Microsoft .NET Runtime - 6.0.31 (x64),48.124.15198,Microsoft Corporation
Microsoft .NET Runtime - 8.0.28 (x64),64.112.53549,Microsoft Corporation
Microsoft Edge,149.0.4022.98,Microsoft Corporation
Microsoft Edge WebView2 Runtime,149.0.4022.98,Microsoft Corporation
Microsoft GameInput,3.3.221.0,Microsoft Corporation
Microsoft Office Home and Student 2021 - en-us,16.0.20026.20182,Microsoft Corporation
Microsoft OneNote - en-us,16.0.20026.20182,Microsoft Corporation
Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.44.35211,14.44.35211.0,Microsoft Corporation
Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.44.35211,14.44.35211.0,Microsoft Corporation
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.44.35211,14.44.35211,Microsoft Corporation
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.44.35211,14.44.35211,Microsoft Corporation
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.44.35211,14.44.35211,Microsoft Corporation
Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.44.35211,14.44.35211,Microsoft Corporation
Microsoft Windows Desktop Runtime - 6.0.31 (x64),48.124.15242,Microsoft Corporation
Microsoft Windows Desktop Runtime - 6.0.31 (x64),6.0.31.33720,Microsoft Corporation
Microsoft Windows Desktop Runtime - 8.0.28 (x64),8.0.28.36119,Microsoft Corporation
Microsoft Windows Desktop Runtime - 8.0.28 (x64),64.112.53617,Microsoft Corporation
MySQL Documents,8.0.44,Oracle Corporation
MySQL Examples and Samples,8.0.44,Oracle Corporation
MySQL Installer,1.6.16.0,Oracle Corporation
MySQL Router 8.0,8.0.44,Oracle Corporation
MySQL Server 8.0,8.0.44,Oracle Corporation
MySQL Shell,8.0.44,Oracle Corporation
MySQL Workbench 8.0 CE,8.0.44,Oracle Corporation
Office 16 Click-to-Run Extensibility Component,16.0.20026.20076,Microsoft Corporation
PowerShell 7-x64,7.6.3.0,Microsoft Corporation
Python 3.13.2 Add to Path (64-bit),3.13.2150.0,Python Software Foundation
Python 3.13.2 Core Interpreter (64-bit),3.13.2150.0,Python Software Foundation
Python 3.13.2 Development Libraries (64-bit),3.13.2150.0,Python Software Foundation
Python 3.13.2 Documentation (64-bit),3.13.2150.0,Python Software Foundation
Python 3.13.2 Executables (64-bit),3.13.2150.0,Python Software Foundation
Python 3.13.2 pip Bootstrap (64-bit),3.13.2150.0,Python Software Foundation
Python 3.13.2 Standard Library (64-bit),3.13.2150.0,Python Software Foundation
Python 3.13.2 Tcl/Tk Support (64-bit),3.13.2150.0,Python Software Foundation
Python 3.13.2 Test Suite (64-bit),3.13.2150.0,Python Software Foundation
Python Launcher,3.13.2150.0,Python Software Foundation
Realtek Audio Driver,6.0.9835.1,Realtek Semiconductor Corp.
REALTEK Wireless LAN and Bluetooth Driver,23.22.0324.0411,REALTEK Semiconductor Corp.
TDM-GCC,1.2105.1,TDM
VLC media player,3.0.20,VideoLAN
Windows Subsystem for Linux,2.7.8.0,Microsoft Corporation
WinRAR 7.11 (64-bit),7.11.0,win.rar GmbH
